"syntax","description","expression","tio_link"
"f⍨Y","Commute (W-combinator): same as Y f Y","⎕← ⍴⍨ 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W551LtCwfj/fwA"
"X f∘g Y","Beside (D-combinator): X∘f on the result of g on Y, that is, X f g Y","⎕← ¯1 ⌽∘⍳¨ 3 4 5","https://tio.run/##ASoA1f9hcGwtZHlhbG9n///ijpXihpAgwq8xIOKMveKImOKNs8KoIDMgNCA1//8"
"X∘g Y","Curry: g between X and Y, that is, XgY","next ← 1∘+
⎕← next 23","https://tio.run/##SyzI0U2pTMzJT///Py@1okThUdsEBcNHHTO0uR71TQVxwKJGxv//AwA"
"f∘g Y","Beside: f on the result of g on Y, that is, f g Y","⎕← ⌽∘⍳¨ 3 4 5","https://tio.run/##ASYA2f9hcGwtZHlhbG9n///ijpXihpAg4oy94oiY4o2zwqggMyA0IDX//w"
"X f¨Y","Each: f between items of X and Y","⎕← 3 ↑¨ 1 2 (3 4) 'V'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFR61TTy0QsFQwUhBw1jBRFNBPUz9/38A"
"f¨Y","Each: f on items of Y","⎕← ⊃¨ 1 2 3 'ABC' (9 8 7)","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedTUfWqFgqGCkYKyg7ujkrK6gYalgoWCu@f8/AA"
"Is f/Y","N-wise Reduce: f between all items of Y in groups of Is on last axis","⎕← 2 +/ 1 2 3 4 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFLT1FQyBlLGCiYLp//8A"
"Iv/Y","Replicate along last axis of Y","⎕← 3 1 ¯2 2 / 6 7 8 9","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFQwVDq03UjBS0FcwUzBXsFCw/P8fAA"
"Av/Y","Filtering columns of Y according to mask Av","⎕← 1 0 1 0 1 / 'Heart'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQygWF9B3SM1sahE/f9/AA"
"f/Y","Reduce: f between all items of Y on last axis","⎕← +/ 1 2 3 4 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS09RUMFYwUjBVMFEz//wcA"
"Is f⌿Y","N-wise Reduce First: f between all items of Y in groups of Is on first axis","mat ← 3 4⍴⍳12
⎕← +⌿ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSSk/ahnvwJQ/v9/AA"
"Iv⌿Y","Replicate along leading axis of Y","mat ← 3 4⍴⍳12
⎕← 1 0 2 ⌿ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkqGCgYKTwqGe/AlDR//8A"
"Av⌿Y","Filtering major cells of Y according to mask Av","mat ← 3 4⍴⍳12
⎕← 1 0 1 ⌿ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkqGAAxI969isAFf3/DwA"
