"syntax","description","expression","tio_link"
"r←⎕FREAD tn cn {pn}","The array stored in component(s) cn in file tied with number tn (pn is optional passnumber)","tn ← 'file.dcf' ⎕FCREATE 0
'abc' ⎕FAPPEND tn
⎕← ⎕FREAD tn 1","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVL2U5DR1hUd9U92cg1wdQ1wVDLjUE5OSIUKOAQGufi4KJXlcQB5IC0gQqAwkpGD4/z8A"
"r←⎕FSIZE tn {pn}","First and next-free component number, used and max size in bytes of file tied with number tn","tn ← 'file.dcf' ⎕FCREATE 0
'abc' ⎕FAPPEND tn
⎕← ⎕FSIZE tn","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVL2U5DR1hUd9U92cg1wdQ1wVDLjUE5OSIUKOAQGufi4KJXlcQB5IC0gw2DPKFSj0/z8A"
"r←data {header} ⎕CSV format_spec","Convert CSV data from APL matrix","⎕← ⎕CSV ('abc,def,42E0' '.1,-2.3,3.0') 'N' 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlHNwmIKGemJSsk5KapqOiZGrgbqCup6hjq6RnrGOsZ6BuqaCup@6gsn//wA"
"r←nvpairs ⎕FPROPS tn {pn}","Set properties of file tied with number tn using name-value pairs (pn is optional passnumber)","tn ← 'file.dcf' ⎕FCREATE 0
'⍤' ⎕FAPPEND tn
'U' 0 ⎕FPROPS tn
'⍸' ⎕FAPPEND tn","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVL2U5DR1hUd9U92cg1wdQ1wVDLjUH/UugQg5BgS4@rkolORxqYeqKxiAxQKC/AOCwUKPenegKfv/HwA"
"r←pnames ⎕FPROPS tn {pn}","Current values of the named properties of file tied with number tn (pn is optional passnumber)","tn ← 'file.dcf' ⎕FCREATE 0
⎕← 'U' ⎕FPROPS tn","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVL2U5DR1hUd9U92cg1wdQ1wVDLiAHLB0KEQ8IMg/IFihJO//fwA"
"r←{flags} ⎕NPARTS files","Splits files into paths, base names and extensions (normalising files if flags=1)","⎕← ⎕NPARTS 'aplcart/table.tsv'
⎕← 1 ⎕NPARTS 'aplcart/table.tsv'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAlF@AY1BIsIJ6YkFOcmJRiX5JYlJOql5JcZk6F1SRIX5l//8DAA"
"r←{format_spec} ⎕FMT x","Convert x into character matrix according to spec","⎕← 'I3,F5.2' ⎕FMT 2 4⍴⍳8
⎕← 'K2G⊂DM Z.ZZZ.ZZ9,99⊃' ⎕FMT 1234567.89 1234.56","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUPY113Ez1jNQVgAJuviEKRgomj3q3POrdbMEFU@Jt5P6oq8nFVyFKLyoKhC11LC0fdTXD9RgaGZuYmpnrWViCmXqmZv//AwA"
"r←{selectors} ⎕ATX names","Attributes of names","∇ {r}←NiladShh
∇

∇ x Dyad y
∇

∇ (f MopM)y
∇

∇ {x}(f MopA)y
∇

∇ (f DopM g)y
∇


⎕← (⊢,⎕AT)⎕NL ¯3 ¯4","https://tio.run/##SyzI0U2pTMzJT////1FHu0J1Ue2jtgl@mTmJKcEZGVxAIS4QoVCh4FKZmKJQiRDRSFPwzS/w1UQSqq6ohYg6aqIqdAEqVEiHCXI96psKtERB41HXIh0g2zFEE0j6@SgcWm8MxCb//wMA"
"r←{selector} ⎕AT names","Syntactical attributes of named functions or operators","∇ {r}←NiladShh
∇

∇ x Dyad y
∇

∇ (f MopM)y
∇

∇ {x}(f MopA)y
∇

∇ (f DopM g)y
∇


⎕← (⊢,⎕AT)⎕NL ¯3 ¯4","https://tio.run/##SyzI0U2pTMzJT////1FHu0J1Ue2jtgl@mTmJKcEZGVxAIS4QoVCh4FKZmKJQiRDRSFPwzS/w1UQSqq6ohYg6aqIqdAEqVEiHCXI96psKtERB41HXIh0g2zFEE0j6@SgcWm8MxCb//wMA"
"r←{encoding} ⎕UCS vec","Map characters to/from Unicode code points","⎕← ⎕UCS 'ABC'
⎕← ⎕UCS 100 200 300
⎕← 'UTF-8' ⎕UCS '⍺*⎕'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVKhzsIK6o5OzOheqmKGBgYIREBsbGMBk1END3HQt1OG6HvXu0gKy1f//BwA"
"r←{xml_options} ⎕XML data","XML string to/from APL array","⎕← ⎕XML '<root attr1=""val1"" attr2=""val2"">intro<body><one/></body>content</root>'
⎕← ⎕XML 2 3⍴0 'root' '' 1 '' 'intro'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVISvj4K6TVF@folCYklJkaGtUllijqESmGME5hgp2WXmlRTl2yTlp1Ta2eTnperb2eiDOcn5eSWpeSU2@iD9dupcqMYaKRg/6t1ioKAOklVXUFdXMAQR6mDT1P//BwA"
"{⍬}←output ⎕ARBOUT codes","Transmit 8-bit codes to output device","'myfile' ⎕NCREATE ¯1
¯1 ⎕ARBOUT 97 98 99
⎕←⊃⎕NGET 'myfile'","https://tio.run/##SyzI0U2pTMzJT///Xz23Mi0zJ1Vd4VHfVD/nIFfHEFeFQ@sNuYAYJOQY5OQfGqJgaa5gaaFgackFFHrUNuFRVzNIubtriAJM////AA"
"{counts}←destination ⎕NMOVE sources","Move files/directories from 'sources' to 'destination'","'abc' ⎕NPUT 'file.txt'
'new.txt' ⎕NMOVE 'file.txt'
⎕← ⊃⎕NGET 'new.txt'
⎕← ⎕NEXISTS 'file.txt'","https://tio.run/##SyzI0U2pTMzJT///Xz0xKVld4VHfVL@A0BAF9bTMnFS9kooSdS71vNRyMAss6esf5oosCxR71DZB4VFXM0jW3RWoFaYeLgeUcI3wDA4JRtL4/z8A"
"{counts}←destination ⎕NCOPY sources","Copy files/directories from 'sources' to 'destination'","'abc' ⎕NPUT 'file.txt'
'new.txt' ⎕NCOPY 'file.txt'
⎕← ⊃⎕NGET 'new.txt'
⎕← ⎕NEXISTS 'file.txt'","https://tio.run/##SyzI0U2pTMzJT///Xz0xKVld4VHfVL@A0BAF9bTMnFS9kooSdS71vNRyMAss6ewfEIksCxR71DZB4VFXM0jW3RWoFaYeLgeUcI3wDA4JRtL4/z8A"
"{names}←2 ⎕FIX source","Define objects from source (vector of vectors or file name starting with 'file://')","⎕FIX':Namespace foo' 'var←42' ':EndNamespace'
⎕← foo.var","https://tio.run/##SyzI0U2pTMzJT////1HfVDfPCHUrv8Tc1OKCxORUhbT8fHUF9bLEokdtE0yMgEwr17wUuLQ6F1AHUAakTA@o6P9/AA"
"{num}←⎕DL num","Delay and return seconds actually delayed","⎕← ⎕TS
⎕DL 1.5
⎕← ⎕TS","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVEgwF5B08VEw1DPlQhb@/x8A"
"{offset}←x ⎕NAPPEND tn type","Append x using internal representation type to file tied with number tn","tn ← 'file.txt' ⎕NCREATE 0
'abc' ⎕NAPPEND tn
65 66 67 ⎕NAPPEND tn
⎕← ⊃ ⎕NGET 'file.txt'","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVL2SihJ1hUd9U/2cg1wdQ1wVDLjUE5OSIUKOAQGufi4KJXlcZqYKZmYKZuZowkAeyKRHXc1gCXfXECRT//8HAA"
"{ref}←⎕FIX source","Define namespace, class, or interface from source (vector of vectors or file name starting with 'file://') with name as given in source","⎕FIX':Namespace foo' 'var←42' ':EndNamespace'
⎕← foo.var","https://tio.run/##SyzI0U2pTMzJT////1HfVDfPCHUrv8Tc1OKCxORUhbT8fHUF9bLEokdtE0yMgEwr17wUuLQ6F1AHUAakTA@o6P9/AA"
"{ref}←0 ⎕FIX source","Define namespace, class, or interface from source (vector of vectors or file name starting with 'file://') that only exists as long as a reference is kept","⎕FIX':Namespace foo' 'var←42' ':EndNamespace'
⎕← foo.var","https://tio.run/##SyzI0U2pTMzJT////1HfVDfPCHUrv8Tc1OKCxORUhbT8fHUF9bLEokdtE0yMgEwr17wUuLQ6F1AHUAakTA@o6P9/AA"
"(rows columns)←⎕SD","Screen dimensions of terminal or ⎕SM window","⎕←⎕SD","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE4BksMv//wA"
"{tns}←⎕NUNTIE tns","Untie one or more files","tnA ← 'fileA.txt' ⎕NCREATE 0
tnB ← 'fileB.txt' ⎕NCREATE 0
tnC ← 'fileC.txt' ⎕NCREATE 0
⎕← ⎕NNUMS
⎕NUNTIE tnB
⎕← ⎕NNUMS
⎕NUNTIE tnA tnB
⎕← ⎕NNUMS","https://tio.run/##SyzI0U2pTMzJT///vyTPUeFR2wQF9bTMnFRHvZKKEnWFR31T/ZyDXB1DXBUMuErynBAKnLAqcEYocMaiAMgByYPE/EJ9g0F8v1C/EE9XBaDZeGUdsan4/x8A"
"{tns}←⎕FUNTIE tns","Untie one or more component files","tnA ← 'fileA.dcf' ⎕FCREATE 0
tnB ← 'fileB.dcf' ⎕FCREATE 0
tnC ← 'fileC.dcf' ⎕FCREATE 0
⎕← ⎕FNUMS
⎕FUNTIE tnB
⎕← ⎕FNUMS
⎕FUNTIE tnA tnB
⎕← ⎕FNUMS","https://tio.run/##SyzI0U2pTMzJT///vyTPUeFR2wQF9bTMnFRHvZTkNHWFR31T3ZyDXB1DXBUMuErynBAKnLAqcEYocMaiAMgByYPE/EJ9g0F8t1C/EE9XBaDZeGUdsan4/x8A"
"{tn}←file ⎕NCREATE tn","Create file tied with number tn (tn 0 to generate tn)","'fileA.txt' ⎕NCREATE 0
'fileB.txt' ⎕NCREATE 0
⎕← (⎕NINFO⍠1)'*.txt'","https://tio.run/##SyzI0U2pTMzJT///Xz0tMyfVUa@kokRd4VHfVD/nIFfHEFcFAy6whBMWCSDnUdsEBQ2QoKefm/@j3gWGmupaYJX//wMA"
"{tn}←file ⎕NERASE tn","Erase tied file tied with number tn","⎕← (⎕NINFO⍠1)'*'
tn ← '.code.tio' ⎕NTIE 0
'.code.tio' ⎕NERASE tn
⎕← (⎕NINFO⍠1)'*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0gLSfp5@b/6PeBYaa6lrqXCV5CiAJdb3k/JRUvZLMfHUFkJoQT1cFAy50Udcgx2BXhZI8LlzG/f8PAA"
"{tn}←file ⎕NRENAME tn","Rename tied file to have name file","⎕← (⎕NINFO⍠1)'*'
tn ← '.code.tio' ⎕NTIE 0
'.edoc.tio' ⎕NRENAME tn
⎕← (⎕NINFO⍠1)'*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0gLSfp5@b/6PeBYaa6lrqXCV5CiAJdb3k/JRUvZLMfHUFkJoQT1cFAy51vdSU/GSEaJCrn6Ovq0JJHhcu8/7/BwA"
"state|data←{settings} ⎕PROFILE action","“Profile” CPU or elapsed time consumption of code","Fibonacci←{     ⍝ Tail-recursive Fibonacci.
    ⍺←0 1
    ⍵=0:⍬⍴⍺
    (1↓⍺,+/⍺)∇ ⍵-1
}","https://tio.run/##SyzI0U2pTMzJT///3y0zKT8vMTk581HbhGoFEHjUO1chJDEzR7coNbm0qDizLFUBrkiPC6JiF1C1gYIhlLfV1sDqUe@aR71bgDJgMQ3DR22TgRwdbX0gqfmoox2kTNeQq/b//0d9UwOC/N08fVwV1ItLEotK1Lng5iuYI7FNjLhQ1eYXqINEgHYrIEukJJYkqgMA"
"t←{properties} ⎕NINFO tns/files","Return values of properties for tns/files","⎕← ⍉↑ 1 2 0 (⎕NINFO⍠1) '/*'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XY@apuoYKhgpGCgoAEU9PP0c/N/1LvAUFNBXV9L/f9/AA"
"⎕IO←(1,0)","Specifies whether array indices are counted from 0 or 1","⎕IO ← 0
⎕← ⍳ 4
⎕← 'hello'[2]

⎕IO ← 1
⎕← ⍳ 4
⎕← 'hello'[2]","https://tio.run/##SyzI0U2pTMzJT////1HfVE9/hUdtExQMuIBsEONR72YFExhHPSM1JydfPdoolosLodaQgNr//wE"
"names←{init_chars} ⎕NL ¯2.1","List names of existing variables, optionally filtered",":Class c
    :Field f←'field'
    v←'variable'
    :Property p
        ∇ r←Get x
          r←'prop'
        ∇
    :EndProperty
    ∇ r←NL x
      :Access public
      r←⎕NL x
    ∇
:EndClass","https://tio.run/##SyzI0U2pTMzJT///38o5J7G4WCGZSwEIrNwyU3NSFNIetU1QTwMx1cHCZSB@WWJRZmJSTipEyCqgKL8gtaikUqEAzAeBRx3tCkVApe6pJQoVcFEFsJh6AVC9OrJSiDGueSkwk7iQzfDzgRth5ZicnAp0YkFpUk5mMhfCzEd9U@HKQAaCDAP75v//TKi0azjQZ5l6QGWH1hvpGQIA"
"names←{init_chars} ⎕NL ¯2.2","List names of existing fields, optionally filtered",":Class c
    :Field f←'field'
    v←'variable'
    :Property p
        ∇ r←Get x
          r←'prop'
        ∇
    :EndProperty
    ∇ r←NL x
      :Access public
      r←⎕NL x
    ∇
:EndClass","https://tio.run/##SyzI0U2pTMzJT///38o5J7G4WCGZSwEIrNwyU3NSFNIetU1QTwMx1cHCZSB@WWJRZmJSTipEyCqgKL8gtaikUqEAzAeBRx3tCkVApe6pJQoVcFEFsJh6AVC9OrJSiDGueSkwk7iQzfDzgRth5ZicnAp0YkFpUk5mMhfCzEd9U@HKQAaCDAP75v//TKi0azjQZ5l6QGWH1hvpGQEA"
"names←{init_chars} ⎕NL ¯2.3","List names of existing properties, optionally filtered",":Class c
    :Field f←'field'
    v←'variable'
    :Property p
        ∇ r←Get x
          r←'prop'
        ∇
    :EndProperty
    ∇ r←NL x
      :Access public
      r←⎕NL x
    ∇
:EndClass","https://tio.run/##SyzI0U2pTMzJT///38o5J7G4WCGZSwEIrNwyU3NSFNIetU1QTwMx1cHCZSB@WWJRZmJSTipEyCqgKL8gtaikUqEAzAeBRx3tCkVApe6pJQoVcFEFsJh6AVC9OrJSiDGueSkwk7iQzfDzgRth5ZicnAp0YkFpUk5mMhfCzEd9U@HKQAaCDAP75v//TKi0azjQZ5l6QGWH1hvpGQMA"
"names←{init_chars} ⎕NL ¯2.6","List names of existing external variables and properties, optionally filtered","⎕← ⎕SE.⎕NL ¯2.6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVLCrHpD081E4tN5Iz@z/fwA"
"names←{init_chars} ⎕NL ¯3.1","List names of existing tradfns, optionally filtered","∇ (x x)←TradFn x
∇
Dfn←{⍵ ⍵}
Train←⊂,⊂","https://tio.run/##SyzI0U2pTMzJT////1FHu4JGhUKF5qO2CSFFiSlueQoVXEBBLpe0PKBQ9aPerQpAXMsFlMwEiTzqatIBYqDOvql@PgqH1hvrGQIA"
"names←{init_chars} ⎕NL ¯3.2","List names of existing dfns, optionally filtered","∇ (x x)←TradFn x
∇
Dfn←{⍵ ⍵}
Train←⊂,⊂","https://tio.run/##SyzI0U2pTMzJT////1FHu4JGhUKF5qO2CSFFiSlueQoVXEBBLpe0PKBQ9aPerQpAXMsFlMwEiTzqatIBYqDOvql@PgqH1hvrGQEA"
"names←{init_chars} ⎕NL ¯3.3","List names of existing derived and primitive functions and trains, optionally filtered","∇ (x x)←TradFn x
∇
Dfn←{⍵ ⍵}
Train←⊂,⊂","https://tio.run/##SyzI0U2pTMzJT////1FHu4JGhUKF5qO2CSFFiSlueQoVXEBBLpe0PKBQ9aPerQpAXMsFlMwEiTzqatIBYqDOvql@PgqH1hvrGQMA"
"names←{init_chars} ⎕NL ¯3.6","List names of existing methods and external functions, optionally filtered","⎕← ⎕SE.⎕NL ¯3.6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVLCrHpD081E4tN5Yz@z/fwA"
"names←{init_chars} ⎕NL ¯8.6","List names of existing external events, optionally filtered","⎕← ⎕SE.⎕NL ¯8.6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVLCrHpD081E4tN5Cz@z/fwA"
"names←{init_chars} ⎕NL ¯9.1","List names of existing namespaces, optionally filtered",":Namespace n
:EndNamespace
:Class c
:EndClass","https://tio.run/##SyzI0U2pTMzJT///38ovMTe1uCAxOVUhj8vKNS8Fzueycs5JLC5WSAYLg9n//2c@apvwqG@qn2s4UBzE8FE4tN5SzxAA"
"names←{init_chars} ⎕NL ¯9.2","List names of existing instances, optionally filtered",":Namespace n
:EndNamespace
:Class c
:EndClass","https://tio.run/##SyzI0U2pTMzJT///38ovMTe1uCAxOVUhj8vKNS8Fzueycs5JLC5WSAYLg9n//2c@apvwqG@qn2s4UBzE8FE4tN5SzwgA"
"names←{init_chars} ⎕NL ¯9.4","List names of existing classes, optionally filtered",":Namespace n
:EndNamespace
:Class c
:EndClass","https://tio.run/##SyzI0U2pTMzJT///38ovMTe1uCAxOVUhj8vKNS8Fzueycs5JLC5WSAYLg9n//2c@apvwqG@qn2s4UBzE8FE4tN5SzwQA"
"r←(⎕NEXISTS⍠1)files","Return 1 if files (with ? and * globbing) exist, else 0","'abc123' ⎕NCREATE 0
⎕← (⎕NEXISTS⍠1) 'abc*' 'def*'","https://tio.run/##SyzI0U2pTMzJT///Xz0xKdnQyFhd4VHfVD/nIFfHEFcFAy4g51HbBAUNkKBrhGdwSPCj3gWGmgog1VrqCuopqWla6v//AwA"
"r←(⎕CSV⍠1)data","Convert CSV data to APL inverted table (character data as matrices)","⎕← (⎕CSV⍠1) ⊂'NAME,SUBJECT' 'something,about it' 'other,about that'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0gLRzcNij3gWGmgqPuprU/Rx9XXWCQ528XJ1D1BXUi/NzU0syMvPSdRKT8ktLFDJLgIL5JRmpRVCBkozEEvX//wE"
"r←(⎕CSV⍠2)data","Convert CSV data to APL inverted table (character data as vectors of vectors)","⎕← (⎕CSV⍠2) ⊂'NAME,SUBJECT' 'something,about it' 'other,about that'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0gLRzcNij3gVGmgqPuprU/Rx9XXWCQ528XJ1D1BXUi/NzU0syMvPSdRKT8ktLFDJLgIL5JRmpRVCBkozEEvX//wE"
"r←{object} ⎕WG props…","The values of the properties of an object","⎕← ⎕SE ⎕WG 'Type' 'CurSpace'
⎕← # ⎕WG 'APLVersion'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSAVLAriAx3V1APqSxIVVdQdy4tCi5ITE5V54IqUoYpcAzwCUstKs7Mz1P//x8A"
"⎕ML←(0≤1≤3)","Degree of compatibility with IBM APL2 (from 0=low to 3=high)","⎕ML←0
⎕← ∊ 10(20 30)
⎕ML←1
⎕← ∊ 10(20 30)
⎕← ≡ 10(20 30)
⎕ML←2
⎕← ≡ 10(20 30)
⎕← 1 0 ⊂ 10(20 30)
⎕ML←3
⎕← 1 0 ⊂ 10(20 30)","https://tio.run/##SyzI0U2pTMzJT////1HfVF@fR20TDLiALCCt8KijS8HQQMPIQMHYQJMLJm2IUxos2LkQix4jnNIgQUMFA4VHXU1Y9BnjVPL/PwA"
"⎕PP←(1≤10≤34)","Number of significant digits in the display of numeric output","⎕PP ← 10
⎕← 22÷7
⎕PP ← 13
⎕← 22÷7
⎕PP ← 3
⎕← 22÷7","https://tio.run/##SyzI0U2pTMzJT////1Hf1IAAhUdtExQMDbiAHBDLyOjwdnMuJBljXDKoEv//AwA"
"⎕PW←(42≤76≤32767)","Print width: Number of columns to print before wrapping to next line","⎕← ⍳25
⎕PW ← 42
⎕← ⍳25","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9W42MuUCcgLCFUB8EyMuZJn//wE"
"codes←terminate (input {output}) ⎕ARBIN codes","Read from input device, optionally after transmitting 8-bit codes to output device","⎕SH'mkfifo ./fifo'
in←'./fifo'⎕NTIE 0
out←'./fifo'⎕NTIE 0
⎕←(10 (in out))⎕ARBIN ⎕UCS ⎕D
⎕←(⍬ (in out))⎕ARBIN 10","https://tio.run/##SyzI0U2pTMzJT////1Hf1GAP9dzstMy0fAU9fRClzpWZ96htgjqUB1ThF@LpqmDAlV9aglUcyAKKaxgaKGhk5ikAVWlqAoUcg5w8/RSAjFDnYBDlAlP3qHcNFoWGBv//AwA"
"r←{tn} (regex ⎕S trans) text","Search text for PCRE regex returning trans (optional tn to spool output to native file tied with number tn)","text ← 'JIVED fox-nymph GRABS quick waltz.'
⎕← ('\w+' ⎕S 1) text         ⍝ word lengths
⎕← ('[aeiou]+' ⎕S '&') text  ⍝ vowels
⎕← '\w+' ⎕S {⌽⍵.Match} text  ⍝ reversed words","https://tio.run/##SyzI0U2pTMzJT///vyS1okThUdsEBXUvzzBXF4W0/ArdvMrcggwF9yBHp2CFwtLM5GyF8sSckio9da5HfVNBajXUY8q11RWAvGAFQ00FsBkw8Kh3rkJ5flGKQk5qXnpJRjFCT3RiamZ@aSxMo7qaOkwrSE9ZfnlqDlw1kgXVj3r2PurdquebWJKcUYukoyi1LLWoODUFbF3x//8A"
"(vector encoding newline)←{encoding} ⎕NGET file","Read Unicode text file simple content, encoding, and linebreaks","'Hello' ⎕NPUT 'myfile.txt'
⎕← ⎕NGET 'myfile.txt'","https://tio.run/##SyzI0U2pTMzJT///X90jNScnX13hUd9Uv4DQEAX13Mq0zJxUvZKKEnUuoOCjtglgOXdXVLn//wE"
"(vector_of_vectors encoding newline)←{encoding} ⎕NGET file 1","Read Unicode text file nested content, encoding, and linebreaks","'Hello' ⎕NPUT 'myfile.txt'
⎕← ⊃⊃ ⎕NGET 'myfile.txt' 1","https://tio.run/##SyzI0U2pTMzJT///X90jNScnX13hUd9Uv4DQEAX13Mq0zJxUvZKKEnUuoOCjtgkKj7qagQisxN0VVYmC4f//AA"
"{cn}←⎕FDROP tn n {pn}","Drop n components from start (n>0) or end (n<0) of file tied with number tn (pn is optional passnumber)","tn ← 'myfile' ⎕FCREATE 0
'Hello' ⎕FAPPEND tn
'World' ⎕FAPPEND tn
⎕←⎕FSIZE tn
⎕FDROP tn ¯1
⎕←⎕FSIZE tn","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX13Mq0zJxUdYVHfVPdnINcHUNcFQy41D1Sc3LyIYKOAQGufi4KJXlc6uH5RTkp6KJAHtAgkFiwZ5QrVMTNJcg/AMhWOLTeEFPF//8A"
"{linenos}←{linenos} ⎕MONITOR name","Set/report the current state of performance monitoring for a function","∇ r←Foo;a;b
  a←?500 500⍴0
  b←⌹a
  r←⌊0.5+a+.×b
∇
1 2 3 ⎕MONITOR 'Foo'  ⍝ Set monitor
Foo                     ⍝ Run function
⎕←(⎕NR,'Line' 'Runs' 'CPU' 'Total' 'N/A'⍪⎕MONITOR) 'Foo'  ⍝ Monitor query","https://tio.run/##SyzI0U2pTMzJT////1FHu0LRo7YJbvn51onWSVwKColAnr2pgYECED/q3WIAFEoCCj3q2ZkIZBaBmV0Geqbaidp6h6cncQFN4DJUMFIwVnjUN9XX388zxD9IQR1onrqCwqPeuQrBqSUKufl5mSX5RVxAUQVsAKQuqDRPIa00L7kkMz@PC2gU0CINIOUXpKPuk5mXqq6gDlRRDKScA0KBZEh@SWIOkPbTd1R/1LsKYbcmsuW@EIsVCktTiyr//wcA"
"{linenos}←{linenos} ⎕TRACE name","Set/report the current state of tracing for a function","∇ (c d)←DSL skip;a;b
  a←2×3+4
  b←(2 3⍴'abcdef')a
  →NEXT×⍳skip
  'skipped line'
 NEXT:c←'one' ⋄ d←'two'
∇
0 1 2 3 4 5 ⎕TRACE 'DSL'
DSL 1","https://tio.run/##SyzI0U2pTMzJT////1FHu4JGskKK5qO2CS7BPgrF2ZkF1onWSVwKColAIaPD0421TYCcJCBHw0jB@FHvFvXEpOSU1DR1zUSg@KO2SX6uESGHpz/q3QzSCxRSB9EFqSkKOZl5qepcCiB5q2SgfvV8IF/hUXeLQgqIV1Ker84FtJ/LQMFQAWi0gomCqcKjvqkhQY7OrgrqQNeoc4GcZPj/PwA"
"{tn}←file ⎕NTIE tn {file_mode}","Tie a file with number tn in the specified mode (tn 0 to generate tn)","'abc'⎕NPUT'file.txt'
tn ← 'file.txt'⎕NTIE 0
⎕← ⎕NSIZE tn","https://tio.run/##SyzI0U2pTMzJT///Xz0xKVn9Ud9Uv4DQEPW0zJxUvZKKEnWukjyFR20TFBAiICUhnq4KBlxAFkgKJBDsGeWqUJL3/z8A"
"{tn}←file ⎕FCOPY tn {pn}","Create copy of named file tied to tn (pn is optional passnumber)","tnA ← 'fileA' ⎕FCREATE 0
tnB ← 'fileB' ⎕FCOPY tnA
⎕← (⎕NINFO⍠1)'*.dcf'","https://tio.run/##SyzI0U2pTMzJT///vyTPUeFR2wQF9bTMnFRHdYVHfVPdnINcHUNcFQy4SvKcEJJOUEn/gEgFoC4uIAckpwGk/Tz93Pwf9S4w1FTX0ktJTlP//x8A"
"{tn}←file ⎕FCREATE tn {64}","Create new component in file tied with number tn","'fileA' ⎕FCREATE 0
'fileB' ⎕FCREATE 0
⎕← (⎕NINFO⍠1)'*.dcf'","https://tio.run/##SyzI0U2pTMzJT///Xz0tMyfVUV3hUd9UN@cgV8cQVwUDLrCgE5ogkPOobYKCBpD28/Rz83/Uu8BQU11LLyU5Tf3/fwA"
"{tn}←file ⎕FERASE tn {pn}","Erase exclusively-tied file tied with number tn (pn is optional passnumber)","tnA ← 'fileA' ⎕FCREATE 0
tnB ← 'fileB' ⎕FCREATE 0
⎕← (⎕NINFO⍠1)'*.dcf'
'fileB' ⎕FERASE tnB
⎕← (⎕NINFO⍠1)'*.dcf'","https://tio.run/##SyzI0U2pTMzJT///vyTPUeFR2wQF9bTMnFRHdYVHfVPdnINcHUNcFQy4SvKcEJJOaJJADkhOA0j7efq5@T/qXWCoqa6ll5Kcps6FrMM1yDHYVQFoFl4t//8DAA"
"{tn}←file ⎕FRENAME tn {pn}","Rename exclusively-tied file tied with number tn (pn is optional passnumber)","tn ← 'fileA' ⎕FCREATE 0
'fileB' ⎕FRENAME tn
⎕← (⎕NINFO⍠1)'*.dcf'","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVEd1hUd9U92cg1wdQ1wVDLjAgk4QwSBXP0dfV4WSPC4gD6RDA0j7efq5@T/qXWCoqa6ll5Kcpv7/PwA"
"{tn}←file ⎕FTIE tn {pn}","Exclusively tie component file with number tn (tn 0 to generate tn, pn is optional passnumber)","'fileA' ⎕FCREATE 0
⎕FUNTIE 'fileB' ⎕FCREATE 0
⎕← ⎕FNUMS
tn← 'fileB' ⎕FTIE 0
⎕← ⎕FNUMS","https://tio.run/##SyzI0U2pTMzJT///Xz0tMyfVUV3hUd9UN@cgV8cQVwUDLhAn1C/E01UBLO2EKf2obQJYzC/UN5irJA/ERVYK0oqh7v9/AA"
"{tn}←{bytes} ⎕NRESIZE tn","Resize file tied with number tn to have specified size","tn ← 'file' ⎕FCREATE 0
(1000⍴1.1)⎕FAPPEND tn
(1000⍴1.2)⎕FAPPEND tn
⎕FDROP tn 1
⎕← ⎕FSIZE 1
⎕FRESIZE tn
⎕← ⎕FSIZE 1","https://tio.run/##SyzI0U2pTMzJT///vyRP4VHbBAX1tMycVHWFR31T3ZyDXB1DXBUMuDQMDQwMHvVuMdQz1ARJOAYEuPq5KJTkIckYocmAeC5B/gFAtoIhiAcyHCQY7BnlChFxC3IFcyCqUeX//wcA"
"(↑⍣≡0∘⎕JSON)Y","Convert JSON to high rank APL array","⎕← (↑⍣≡0∘⎕JSON) '[[[1,2,3],[4,5,6]],[""abc"",""def""]]'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQ0HrVNfNS7@FHnQoNHHTOAgl7B/n6aCurR0dGGOkY6xrE60SY6pjpmsUCGUmJSspKOUkpqmlJsrPr//wA"
